sum,cmy,label,label_30
18.17,11.82,1500,22
18.63,12.079999999999998,1500,1
16.22,11.120000000000001,1000,14
14.170000000000002,9.48,1000,6
13.27,8.99,1000,12
13.6,9.24,1000,12
13.11,8.55,1000,12
18.380000000000003,11.9,1500,22
0.06,0.0,500,19
62.55,43.17,2000,8
0.06,0.0,500,19
6.61,1.67,500,3
3.37,1.3399999999999999,500,16
17.57,11.16,1500,22
13.82,9.399999999999999,1000,12
13.74,9.31,1000,12
14.47,9.26,1000,6
14.43,9.18,1000,6
13.77,8.76,1000,12
14.19,9.280000000000001,1000,6
13.579999999999998,8.7,1000,12
14.13,9.280000000000001,1000,6
18.21,11.06,1500,22
18.22,11.09,1500,22
15.35,10.25,1000,26
14.85,9.91,1000,6
15.0,9.969999999999999,1000,6
15.579999999999998,10.129999999999999,1000,26
15.88,10.26,1000,26
16.07,10.43,1000,14
15.52,10.26,1000,26
15.71,10.39,1000,26
15.56,10.24,1000,26
16.31,10.61,1000,14
15.74,10.23,1000,26
15.239999999999998,10.02,1000,26
15.93,10.54,1000,14
16.2,10.4,1000,14
16.41,10.719999999999999,1000,14
15.68,10.23,1000,26
15.47,10.3,1000,26
15.349999999999998,10.129999999999999,1000,26
15.37,10.24,1000,26
15.72,10.41,1000,26
15.97,10.48,1000,14
15.580000000000002,10.200000000000001,1000,26
15.46,10.0,1000,26
14.81,9.93,1000,6
17.27,10.34,1000,14
17.32,10.42,1000,14
16.130000000000003,9.940000000000001,1000,26
16.68,10.41,1000,14
17.68,11.85,1500,22
25.91,17.79,1500,4
27.67,18.62,1500,4
21.12,14.850000000000001,1500,5
13.54,9.09,1000,12
16.529999999999998,10.969999999999999,1000,14
13.98,9.379999999999999,1000,6
15.580000000000002,10.14,1000,26
15.23,10.17,1000,26
14.95,9.9,1000,6
15.13,10.16,1000,26
14.85,9.86,1000,6
11.67,7.67,750,0
15.63,10.25,1000,26
15.75,10.32,1000,26
15.61,10.200000000000001,1000,26
15.71,10.27,1000,26
13.69,9.0,1000,12
15.7,10.27,1000,26
13.53,9.05,1000,12
14.05,9.35,1000,6
13.9,9.29,1000,12
15.4,10.29,1000,26
15.73,10.21,1000,26
15.4,10.03,1000,26
15.830000000000002,10.46,1000,26
0.06,0.0,500,19
72.8,51.44,2000,27
0.06,0.0,500,19
7.3,1.83,500,3
7.26,1.87,500,3
7.390000000000001,1.85,500,3
6.92,1.82,500,3
6.71,1.76,500,3
7.07,1.84,500,3
6.29,1.71,500,3
6.58,1.77,500,3
6.49,1.74,500,3
7.06,1.84,500,3
2.35,1.17,500,16
15.93,9.71,1000,26
18.22,11.48,1500,22
19.66,12.61,1500,1
16.39,9.95,1000,26
16.58,10.43,1000,14
19.76,12.66,1500,1
16.1,10.1,1000,26
16.43,10.58,1000,14
19.01,12.58,1500,1
15.68,9.690000000000001,1000,26
15.419999999999998,9.86,1000,26
16.580000000000002,11.030000000000001,1000,14
17.07,10.4,1000,14
16.8,10.11,1000,14
16.169999999999998,10.11,1000,26
15.91,10.0,1000,26
12.18,7.67,750,0
8.99,5.640000000000001,750,10
8.5,5.39,750,10
14.71,8.780000000000001,1000,6
14.36,8.73,1000,6
13.71,8.68,1000,12
13.54,8.629999999999999,1000,12
14.51,8.61,1000,6
14.6,8.67,1000,6
13.52,8.57,1000,12
12.8,8.11,1000,12
11.96,7.970000000000001,750,0
11.57,7.73,750,0
12.04,7.35,750,0
12.6,8.06,1000,12
12.0,7.970000000000001,750,0
11.62,7.73,750,0
11.9,7.359999999999999,750,0
12.69,8.07,1000,12
12.07,7.99,750,0
11.64,7.709999999999999,750,0
11.8,7.36,750,0
25.6,18.02,1500,4
25.13,17.68,1500,4
17.509999999999998,11.49,1500,22
17.35,11.440000000000001,1500,22
12.06,8.16,750,0
11.6,7.28,750,0
24.57,16.23,1500,25
13.88,8.899999999999999,1000,12
13.44,8.55,1000,12
13.33,8.67,1000,12
14.12,9.17,1000,6
13.17,8.41,1000,12
13.38,8.5,1000,12
12.97,8.17,1000,12
13.66,8.68,1000,12
13.55,8.65,1000,12
13.510000000000002,8.57,1000,12
13.06,7.709999999999999,1000,12
13.240000000000002,8.21,1000,12
13.04,8.190000000000001,1000,12
12.94,8.12,1000,12
13.67,8.4,1000,12
9.1,6.01,750,10
9.03,5.9399999999999995,750,10
8.440000000000001,5.550000000000001,750,10
99.0,74.96000000000001,2000,23
0.06,0.0,500,19
7.17,1.83,500,3
15.77,10.05,1000,26
15.86,9.879999999999999,1000,26
15.72,10.05,1000,26
15.58,10.25,1000,26
18.78,12.620000000000001,1500,1
18.94,12.469999999999999,1500,1
15.6,10.14,1000,26
15.81,9.95,1000,26
14.44,8.74,1000,6
15.27,9.15,1000,6
16.71,10.64,1000,14
16.05,10.56,1000,14
10.89,6.84,750,0
6.22,1.63,500,3
7.01,1.84,500,3
6.3100000000000005,1.65,500,3
6.800000000000001,1.82,500,3
2.37,1.1099999999999999,500,16
0.06,0.0,500,19
7.37,3.29,500,3
7.050000000000001,3.24,500,3
0.06,0.0,500,19
157.46,110.69,2000,7
11.44,0.0,750,21
5.72,0.0,500,3
34.47,22.98,1500,20
5.11,3.7800000000000002,500,3
71.14,59.28,2000,9
18.8,13.17,1500,1
